DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
05/03/2012;12:01:01;37;6781.67;6780.07;6780.01;6781.89
05/03/2012;12:02:01;31;6780.12;6778.86;6778.86;6780.36
05/03/2012;12:03:01;29;6778.7;6776.84;6776.84;6778.81
05/03/2012;12:04:01;44;6776.75;6774.84;6774.62;6776.85
05/03/2012;12:05:01;48;6774.74;6764.78;6764.66;6774.74
05/03/2012;12:06:01;40;6764.75;6763.42;6760.2;6764.75
05/03/2012;12:07:01;35;6763.72;6765.22;6763.5;6765.33
05/03/2012;12:08:01;35;6765.42;6767.19;6765.19;6767.19
05/03/2012;12:09:01;39;6767.07;6764.9;6764.23;6767.1
05/03/2012;12:10:01;42;6765.1;6768.03;6765.1;6768.1
05/03/2012;12:11:01;31;6768.11;6769.49;6767.99;6769.49
05/03/2012;12:12:01;42;6769.55;6769.26;6767.59;6769.55
05/03/2012;12:13:01;24;6768.33;6769.09;6768;6769.09
05/03/2012;12:14:01;24;6768.39;6767.45;6767.12;6768.39
05/03/2012;12:15:01;24;6767.34;6765.55;6765.4;6767.34
05/03/2012;12:16:01;34;6763.97;6765.21;6760.99;6765.21
05/03/2012;12:17:01;33;6766.28;6765.83;6765.83;6767.08
05/03/2012;12:18:01;35;6765.37;6767.01;6764.73;6767.11
05/03/2012;12:19:01;32;6766.97;6765.02;6764.56;6767.15
05/03/2012;12:20:01;43;6764.58;6765.78;6764.27;6766.49
05/03/2012;12:21:01;32;6765.81;6766.32;6765.64;6766.42
05/03/2012;12:22:01;38;6766.29;6765.88;6765.23;6766.32
05/03/2012;12:23:01;41;6765.91;6760.49;6760.3;6765.91
05/03/2012;12:24:01;36;6760.16;6759.87;6759.03;6760.3
05/03/2012;12:25:01;40;6759.7;6761.3;6759.57;6761.7
05/03/2012;12:26:01;30;6760.87;6763.82;6760.57;6764.31
05/03/2012;12:27:01;35;6763.74;6763.98;6763.64;6764.71
05/03/2012;12:28:01;42;6763.83;6765.6;6763.83;6766.24
05/03/2012;12:29:01;39;6765.45;6768.39;6765;6768.42
05/03/2012;12:30:01;39;6770.42;6779.38;6770.42;6780.44
05/03/2012;12:31:01;28;6779.98;6775.01;6774.25;6781.51
05/03/2012;12:32:01;34;6776.4;6779.81;6776.4;6779.97
05/03/2012;12:33:01;30;6779.78;6771.6;6771.37;6780.3
05/03/2012;12:34:01;32;6772.96;6776.21;6772.96;6777.7
05/03/2012;12:35:01;37;6775.93;6780.69;6774.72;6782.56
05/03/2012;12:36:01;38;6780.46;6781.67;6780.17;6782.81
05/03/2012;12:37:01;36;6781.57;6780.93;6780.61;6781.66
05/03/2012;12:38:01;25;6780.95;6767.35;6767.35;6780.95
05/03/2012;12:39:01;20;6767.38;6770.01;6767.38;6772.69
05/03/2012;12:40:01;39;6767.98;6763.96;6762.06;6769.19
05/03/2012;12:41:01;30;6764.17;6773.37;6764.17;6774.65
05/03/2012;12:42:01;26;6773.17;6771.58;6767.81;6773.17
05/03/2012;12:43:01;35;6771.53;6773.15;6771.53;6774.31
05/03/2012;12:44:01;29;6773.16;6770.03;6767.7;6773.27
05/03/2012;12:45:01;22;6770.09;6769.76;6769.76;6776.2
